0:0:0:0:0:0:0:1 - - [13/May/2024:10:54:02 +0200] "GET /Prj08FilmDD/index.jsp HTTP/1.1" 200 14118
0:0:0:0:0:0:0:1 - - [13/May/2024:10:54:02 +0200] "GET /Prj08FilmDD/style.css HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [13/May/2024:10:54:25 +0200] "GET /Prj08FilmDD/index.jsp HTTP/1.1" 200 14118
0:0:0:0:0:0:0:1 - - [13/May/2024:10:54:25 +0200] "GET /Prj08FilmDD/style.css HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [13/May/2024:10:54:28 +0200] "GET /Prj08FilmDD/index.jsp HTTP/1.1" 200 14118
0:0:0:0:0:0:0:1 - - [13/May/2024:10:54:28 +0200] "GET /Prj08FilmDD/style.css HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [13/May/2024:10:54:36 +0200] "GET /Prj08FilmDD/index.jsp HTTP/1.1" 200 14129
0:0:0:0:0:0:0:1 - - [13/May/2024:10:54:36 +0200] "GET /Prj08FilmDD/style.css HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [13/May/2024:10:54:37 +0200] "GET /Prj08FilmDD/index.jsp HTTP/1.1" 200 14129
0:0:0:0:0:0:0:1 - - [13/May/2024:10:54:37 +0200] "GET /Prj08FilmDD/style.css HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [13/May/2024:10:54:39 +0200] "GET /Prj08FilmDD/index.jsp HTTP/1.1" 200 14129
0:0:0:0:0:0:0:1 - - [13/May/2024:10:54:39 +0200] "GET /Prj08FilmDD/style.css HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [13/May/2024:10:54:41 +0200] "GET /Prj08FilmDD/index.jsp HTTP/1.1" 200 14129
0:0:0:0:0:0:0:1 - - [13/May/2024:10:54:41 +0200] "GET /Prj08FilmDD/style.css HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [13/May/2024:10:54:42 +0200] "GET /Prj08FilmDD/index.jsp HTTP/1.1" 200 14129
0:0:0:0:0:0:0:1 - - [13/May/2024:10:54:42 +0200] "GET /Prj08FilmDD/style.css HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [13/May/2024:10:54:59 +0200] "GET /Prj08FilmDD/index.jsp HTTP/1.1" 200 14129
0:0:0:0:0:0:0:1 - - [13/May/2024:10:54:59 +0200] "GET /Prj08FilmDD/style.css HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [13/May/2024:10:55:24 +0200] "GET /Prj08FilmDD/index.jsp HTTP/1.1" 200 12329
0:0:0:0:0:0:0:1 - - [13/May/2024:10:55:24 +0200] "GET /Prj08FilmDD/style.css HTTP/1.1" 404 777
